編號,_名稱,_坐標84X,_坐標84Y,_可停車位,_可借車數,_地址,
_&_88,_臺北田徑場,_121.549407958984,_25.0495052337646,_12,_34,_敦化北路3號,
_&_89,_頂溪國小,_121.511260986328,_25.015811920166,_46,_2,_文化路133號(西側),
_&_90,_捷運三重站(3號出口),_121.484741210938,_25.0558834075928,_21,_12,_捷運路/捷運路37巷,
_&_91,_民生敦化路口,_121.548980712891,_25.0579853057861,_44,_22,_敦化民生路口公車站旁,
_&_92,_捷運科技大樓站,_121.543296813965,_25.0258960723877,_29,_27,_科技大樓站對面(復興南路2段西側),
_&_93,_三張公園,_121.490936279297,_25.0705070495605,_26,_13,_大智街127號至大智路137號(對面三張公園),
_&_94,_社教館,_121.552276611328,_25.048267364502,_24,_12,_八德路三段25號前,
_&_95,_信義敦化路口,_121.549110412598,_25.0333614349365,_25,_20,_信義路四段/敦化南路一段(東北側),
_&_96,_捷運劍潭站(2號出口),_121.524719238281,_25.0828247070313,_20,_32,_基河路18號對面,
_&_97,_葫蘆國小,_121.50749206543,_25.0825386047363,_24,_16,_環河北路三段/葫蘆街(東北側),
_&_98,_羅斯福新生南路口,_121.533172607422,_25.0160312652588,_68,_18,_羅斯福路四段/新生南路三段交叉口,
_&_99,_捷運頂溪站(1號出口),_121.515274047852,_25.0121765136719,_19,_16,_中興街1號對面,
_&_100,_興華公園,_121.483100891113,_25.0601253509521,_30,_8,_重陽路一段120巷/中華路2巷,
_&_101,_捷運小巨蛋站(5號出口),_121.55305480957,_25.0517024993896,_43,_13,_南京東路四段/健康路(東北側),
_&_102,_六合公園,_121.487586975098,_25.0694980621338,_29,_10,_自強路二段74巷27號對面,
_&_103,_臺大資訊大樓,_121.541526794434,_25.0210094451904,_19,_52,_辛亥路二段(臺大外語學院外),
_&_104,_成功國宅,_121.546722412109,_25.0268077850342,_33,_2,_四維路198巷/和平東路三段1巷,
_&_105,_保安永平路口,_121.506469726563,_25.0126914978027,_26,_16,_保安路248號至250號對面,
_&_106,_聯邦公園,_121.483711242676,_25.0644474029541,_40,_7,_三民街/中華路,
_&_107,_百齡國小,_121.519172668457,_25.0852108001709,_24,_16,_前港街100巷/前港街(北方),
_&_108,_重陽國小,_121.484336853027,_25.0662441253662,_28,_12,_中正北路/三民街175巷,
_&_109,_捷運公館站(2號出口),_121.534538269043,_25.0147590637207,_30,_0,_羅斯福路四段/舟山路(東北側),
_&_110,_永平高中,_121.50936126709,_25.0101623535156,_24,_7,_永平路/永平路203巷口(靠學校圍牆路側),
_&_111,_和平公園,_121.485710144043,_25.0708847045898,_27,_6,_忠孝路二段/忠孝路二段32巷,
_&_112,_民生光復路口,_121.555038452148,_25.0583992004395,_15,_19,_光復北路/民生東路(西北側),
_&_113,_保順環河西路口,_121.503372192383,_25.0107860565186,_45,_9,_保順環河西路口,
_&_114,_仁愛公園,_121.505821228027,_25.009838104248,_50,_10,_仁愛路/保生路,
_&_115,_捷運信義安和站,_121.554206848145,_25.0329856872559,_16,_12,_通化街/信義路四段(西南側),
_&_116,_仁愛延吉街口,_121.555770874023,_25.0374641418457,_5,_29,_仁愛路四段/延吉街(東南側),
_&_117,_捷運三和國中站(1號出口),_121.48779296875,_25.0758800506592,_19,_28,_三和路四段95號至97號對面(捷運三和國中站1號出口),
_&_118,_自強溪尾街口,_121.489891052246,_25.0781536102295,_35,_5,_自強路4段/溪尾街,
_&_119,_捷運國父紀念館站(2號出口),_121.556945800781,_25.0410003662109,_39,_6,_忠孝東路四段/光復南路口(西南側),
_&_120,_敦化基隆路口,_121.548332214355,_25.0220737457275,_11,_19,_敦化南路二段/基隆路二段交叉口,
_&_121,_二重國中,_121.48046875,_25.0659561157227,_48,_18,_忠孝路三段75巷1號至忠孝路三段75巷11號(對面人行道),
_&_122,_五福里(五華街),_121.49390411377,_25.0817241668701,_50,_1,_五華街64號對面人行道(碧華國中旁),
_&_123,_基隆長興路口,_121.54434967041,_25.017053604126,_24,_41,_基隆路/長興街(東南側),
_&_124,_音樂公園,_121.480461120605,_25.0286312103271,_31,_16,_大同街97號對面公園人行道,
_&_125,_士林運動中心,_121.521812438965,_25.0891742706299,_22,_9,_承德路四段/大南路(東北側),
_&_126,_台灣科技大學,_121.539726257324,_25.0130996704102,_11,_34,_基隆路四段/基隆路四段73巷交叉口,
_&_127,_三重商工,_121.48070526123,_25.0686817169189,_9,_52,_中正北路/中正北路276巷,
_&_128,_福和國中,_121.520927429199,_25.005952835083,_25,_41,_永貞路/永亨路(東南側),
_&_129,_劍潭社區,_121.537895202637,_25.0847587585449,_26,_15,_通北街143號前,
_&_130,_三張犁,_121.5576171875,_25.0349369049072,_66,_0,_光復南路/基隆路一段364巷,
_&_131,_捷運大直站(3號出口),_121.546684265137,_25.0792789459229,_15,_36,_北安路458巷41弄/北安路536巷(捷運大直站3號出口前人行道),
_&_132,_二重國小,_121.477653503418,_25.065975189209,_23,_22,_頂崁街164號至188號(對面二重國小),
_&_133,_捷運六張犁站,_121.553161621094,_25.0238838195801,_17,_13,_捷運出口外和平東路側,
_&_134,_中崙高中,_121.56086730957,_25.0487804412842,_22,_24,_八德路四段91巷(中崙高中)旁,
_&_135,_基隆光復路口,_121.557838439941,_25.0300540924072,_28,_1,_基隆路二段/光復南路(東北側),
_&_136,_社子國小,_121.501892089844,_25.0902938842773,_29,_30,_延平北路六段/社中街(社子國小對面跨提便道橋下),
_&_137,_師範大學公館校區,_121.537185668945,_25.0075283050537,_10,_32,_師大公館校區校門口(汀州路側),
_&_138,_仁愛逸仙路口,_121.561180114746,_25.0377235412598,_11,_27,_仁愛路四段/逸仙路(西北側),
_&_139,_民權運動公園,_121.560188293457,_25.0620021820068,_33,_19,_民權東路四段/新中街交叉口,
_&_140,_中正基河路口,_121.519866943359,_25.0933952331543,_17,_21,_中正路420號前,
_&_141,_捷運士林站(2號出口),_121.526557922363,_25.0925464630127,_16,_30,_中正路247巷/中山北路五段505巷(東南側),
_&_142,_永和國小,_121.517440795898,_25.0022716522217,_23,_13,_中正路390號至426號對面,
_&_143,_永安公園,_121.477394104004,_25.0247859954834,_30,_7,_雙十路一段25號前人行道,
_&_144,_碧華公園,_121.487487792969,_25.083740234375,_23,_5,_溪尾街303號(對面公園),
_&_145,_市民廣場,_121.562324523926,_25.0360355377197,_40,_19,_市府路/松壽路(西北側) ,
